report_id,ip_id,ip,reputation,pulses,earliest_pulses_datetime,total_malwares,earliest_malware_datetime,recentmost_malware_datetime,total_urls,earliest_url_datetime,recentmost_url_datetime
306,61,167.156.220.15,0,0,NA,0,NA,NA,0,NA,NA
313,62,64.16.211.143,0,0,NA,0,NA,NA,0,NA,NA
321,63,22.250.166.222,0,0,NA,0,NA,NA,0,NA,NA
321,64,167.156.220.15,0,0,NA,0,NA,NA,0,NA,NA
328,65,85.255.119.242,0,0,NA,123,2020-09-17,2022-06-25,146,2019-01-11,2019-07-28
391,66,50.7.248.170,0,0,NA,0,NA,NA,2,2014-01-23,2015-06-09
404,67,89.119.67.154,0,0,NA,285,2017-06-24,2017-08-10,415,2021-05-15,2021-10-22
427,68,213.155.21.32,0,0,NA,28,2016-07-30,2017-06-08,0,NA,NA
469,69,200.63.46.49,0,0,NA,0,NA,NA,0,NA,NA
472,70,93.174.95.145,0,0,NA,0,NA,NA,30,2013-02-15,2021-10-22
474,71,70.85.221.10,0,4,2015-04-24,4,2018-09-07,2020-11-17,22,2016-04-21,2018-01-12
480,72,128.100.195.241,0,0,NA,0,NA,NA,0,NA,NA
480,73,128.100.195.250,0,0,NA,0,NA,NA,0,NA,NA
480,74,141.251.30.134,0,0,NA,0,NA,NA,0,NA,NA
480,75,161.53.97.57,0,0,NA,0,NA,NA,0,NA,NA
480,76,185.4.124.170,0,0,NA,0,NA,NA,0,NA,NA
480,77,193.158.240.10,0,0,NA,0,NA,NA,0,NA,NA
480,78,193.222.73.227,0,0,NA,1,2017-03-20,2017-03-20,243,2018-09-07,2018-09-10
480,79,193.28.233.32,0,0,NA,0,NA,NA,2,2014-03-22,2014-04-05
480,80,193.47.246.76,0,0,NA,0,NA,NA,0,NA,NA
480,81,195.186.145.42,0,0,NA,1,2017-06-12,2017-06-12,2,2018-04-14,2018-11-03
480,82,195.222.21.12,0,0,NA,0,NA,NA,0,NA,NA
480,83,212.143.95.24,0,0,NA,0,NA,NA,0,NA,NA
480,84,212.227.15.171,0,3,2020-02-13,4,2017-07-31,2017-08-15,3,2019-11-28,2020-12-16
480,85,212.227.15.188,0,2,2020-12-16,0,NA,NA,3,2018-01-14,2020-12-16
480,86,212.227.17.162,0,4,2021-03-30,0,NA,NA,3,2019-11-28,2021-10-18
480,87,46.30.211.89,0,0,NA,0,NA,NA,0,NA,NA
480,88,5.149.171.178,0,0,NA,0,NA,NA,2,2017-04-12,2018-05-12
480,89,78.142.182.76,0,0,NA,0,NA,NA,0,NA,NA
480,90,80.150.9.158,0,0,NA,0,NA,NA,0,NA,NA
480,91,80.74.157.171,0,1,2019-02-11,16,2015-05-11,2016-10-20,580,2022-01-12,2022-06-16
480,92,81.19.149.32,0,0,NA,1,2017-07-31,2017-07-31,0,NA,NA
480,93,86.35.0.126,0,0,NA,1,2018-11-25,2018-11-25,1,2017-05-14,2017-05-14
480,94,88.116.214.146,0,0,NA,0,NA,NA,1,2020-01-28,2020-01-28
480,95,91.250.66.120,0,0,NA,0,NA,NA,7,2017-03-29,2021-01-18
485,96,111.221.115.86,0,0,NA,0,NA,NA,1,2019-01-28,2019-01-28
485,97,128.100.195.241,0,0,NA,0,NA,NA,0,NA,NA
485,98,128.100.195.250,0,0,NA,0,NA,NA,0,NA,NA
485,99,132.245.210.12,0,0,NA,0,NA,NA,1,2018-04-14,2018-04-14
485,100,132.245.210.9,0,0,NA,1,2021-11-01,2021-11-01,1,2018-04-14,2018-04-14
485,101,132.245.226.50,0,0,NA,0,NA,NA,1,2014-11-13,2014-11-13
485,102,132.245.229.146,0,0,NA,0,NA,NA,0,NA,NA
485,103,132.245.229.162,0,0,NA,0,NA,NA,0,NA,NA
485,104,132.245.229.178,0,0,NA,1,2016-05-25,2016-05-25,0,NA,NA
485,105,141.251.30.134,0,0,NA,0,NA,NA,0,NA,NA
485,106,157.56.251.217,0,0,NA,0,NA,NA,1,2019-01-28,2019-01-28
485,107,157.56.251.220,0,0,NA,0,NA,NA,1,2019-01-28,2019-01-28
485,108,157.56.255.226,0,0,NA,0,NA,NA,1,2018-04-14,2018-04-14
485,109,157.56.255.54,0,0,NA,0,NA,NA,1,2019-01-28,2019-01-28
485,110,157.56.255.57,0,0,NA,0,NA,NA,1,2019-01-28,2019-01-28
485,111,157.56.96.123,0,0,NA,0,NA,NA,5,2017-05-05,2018-04-12
485,112,157.56.96.156,0,1,2021-03-12,1,2015-01-24,2015-01-24,37,2015-01-27,2021-03-12
485,113,161.53.97.57,0,0,NA,0,NA,NA,0,NA,NA
485,114,185.4.124.170,0,0,NA,0,NA,NA,0,NA,NA
485,115,193.158.240.10,0,0,NA,0,NA,NA,0,NA,NA
485,116,193.222.73.227,0,0,NA,1,2017-03-20,2017-03-20,243,2018-09-07,2018-09-10
485,117,193.28.233.32,0,0,NA,0,NA,NA,2,2014-03-22,2014-04-05
485,118,193.47.246.76,0,0,NA,0,NA,NA,0,NA,NA
485,119,195.186.145.42,0,0,NA,1,2017-06-12,2017-06-12,2,2018-04-14,2018-11-03
485,120,195.222.21.12,0,0,NA,0,NA,NA,0,NA,NA
485,121,212.143.95.24,0,0,NA,0,NA,NA,0,NA,NA
485,122,212.227.15.171,0,3,2020-02-13,4,2017-07-31,2017-08-15,3,2019-11-28,2020-12-16
485,123,212.227.15.188,0,2,2020-12-16,0,NA,NA,3,2018-01-14,2020-12-16
485,124,212.227.17.162,0,4,2021-03-30,0,NA,NA,3,2019-11-28,2021-10-18
485,125,46.30.211.89,0,0,NA,0,NA,NA,0,NA,NA
485,126,5.149.171.178,0,0,NA,0,NA,NA,2,2017-04-12,2018-05-12
485,127,65.55.242.252,0,0,NA,5,2014-12-03,2015-01-30,17,2015-01-25,2015-02-01
485,128,78.142.182.76,0,0,NA,0,NA,NA,0,NA,NA
485,129,80.150.9.158,0,0,NA,0,NA,NA,0,NA,NA
485,130,80.74.157.171,0,1,2019-02-11,16,2015-05-11,2016-10-20,580,2022-01-12,2022-06-16
485,131,81.19.149.32,0,0,NA,1,2017-07-31,2017-07-31,0,NA,NA
485,132,86.35.0.126,0,0,NA,1,2018-11-25,2018-11-25,1,2017-05-14,2017-05-14
485,133,88.116.214.146,0,0,NA,0,NA,NA,1,2020-01-28,2020-01-28
485,134,91.250.66.120,0,0,NA,0,NA,NA,7,2017-03-29,2021-01-18
499,135,120.72.85.141,0,0,NA,0,NA,NA,1,2018-04-25,2018-04-25
521,136,74.54.28.74,0,0,NA,0,NA,NA,3,2014-10-22,2018-06-02
522,137,217.170.77.150,0,0,NA,5,2015-03-18,2018-08-22,4,2013-03-21,2018-08-07
539,138,200.75.129.249,0,0,NA,0,NA,NA,1,2021-02-08,2021-02-08
543,139,181.174.112.74,0,1,2020-10-23,0,NA,NA,11,2018-09-06,2021-05-11
543,140,178.116.83.49,0,5,2018-09-25,0,NA,NA,34,2019-06-18,2020-10-23
543,141,182.50.64.148,0,7,2018-09-25,1,2020-05-22,2020-05-22,15,2019-06-24,2020-10-23
543,142,82.222.40.119,0,9,2018-09-25,0,NA,NA,6,2018-09-07,2020-10-23
543,143,97.78.222.18,0,2,2019-04-16,0,NA,NA,12,2018-12-04,2020-10-23
543,144,41.211.9.234,0,2,2019-10-03,0,NA,NA,24,2019-05-27,2020-10-23
543,145,182.253.20.66,0,19,2018-09-25,0,NA,NA,12,2018-10-06,2020-11-04
543,146,212.225.214.249,0,2,2019-10-03,0,NA,NA,27,2019-06-02,2020-10-23
