945,73,www.analysis.seclab.tuwien.ac,0,NA,0,NA,NA
977,73,www.merijn.org,0,NA,0,NA,NA
1008,73,123.com,2,2020-11-03,5,2017-05-11,2022-03-04
1009,74,amana.duckdns.org,0,NA,2,2016-12-01,2016-12-01
1010,75,somicrososoft.ru,1,2021-04-19,41,2020-05-21,2021-05-04
1011,75,orzdwjtvmein.in,1,2019-11-28,45,2020-08-31,2021-05-04
1012,75,ygiudewsqhct.in,4,2019-11-28,41,2020-05-21,2021-05-04
1013,75,xdqzpbcgrvkj.ru,9,2019-11-28,48,2020-09-09,2021-05-04
1014,76,btamail.net,0,NA,0,NA,NA
1015,78,srv.zerolost.org,0,NA,1,2017-06-08,2017-06-08
1032,78,www.analysis.seclab.tuwien.ac,0,NA,0,NA,NA
1064,78,www.merijn.org,0,NA,0,NA,NA
1095,78,123.com,2,2020-11-03,5,2017-05-11,2022-03-04
1096,79,simonettedwerryhouse.net,5,2019-04-28,350,2020-04-10,2022-07-21
1097,79,gwendolynhuddleston.net,4,2019-04-28,272,2020-02-16,2022-07-21
1098,79,journeymeasure.net,5,2019-04-28,617,2020-04-28,2022-07-21
1099,79,morningduring.net,4,2019-04-28,286,2020-04-10,2022-07-21
1100,79,oftensurprise.net,4,2019-04-28,261,2020-02-16,2022-07-21
1101,79,decidepromise.net,3,2019-04-28,318,2020-04-10,2022-07-21
1102,79,chiefanother.net,4,2019-04-28,278,2020-04-10,2022-07-21
1103,79,seasonstrong.net,6,2019-04-28,371,2020-04-10,2022-07-21
1104,79,effortbuilt.net,4,2019-04-28,466,2020-04-10,2022-07-21
1105,79,orderthrown.net,4,2019-04-28,744,2020-05-06,2022-07-21
1106,80,0x00000.skoreabeefimports.info,0,NA,2,2015-04-06,2017-07-02
1123,80,www.analysis.seclab.tuwien.ac,0,NA,0,NA,NA
1155,80,www.merijn.org,0,NA,0,NA,NA
1186,80,123.com,2,2020-11-03,5,2017-05-11,2022-03-04
1188,82,www.unibanco.co,0,NA,0,NA,NA
1189,82,www.caixa.com,0,NA,0,NA,NA
1190,82,bradesco.com,0,NA,0,NA,NA
1191,82,bancodob.com,0,NA,0,NA,NA
1192,83,negg1.ddns.net,0,NA,0,NA,NA
1193,84,gametester.ru,0,NA,0,NA,NA
1194,86,minergate.com,8,2017-05-10,509,2022-03-22,2022-08-01
1195,87,winxpupdate.info,1,2020-11-29,0,NA,NA
1196,90,buy-viagra-now.net,0,NA,0,NA,NA
1197,90,fitish.com,0,NA,0,NA,NA
1198,90,gay.porn.com,0,NA,0,NA,NA
1199,90,www.freebdsmgalleries.com,0,NA,0,NA,NA
1200,90,www.gay.com,0,NA,0,NA,NA
1201,90,www.porn.com,0,NA,12,2016-01-07,2021-03-04
1202,90,mac-defence.com,0,NA,0,NA,NA
1204,97,cms.abmr.net,0,NA,0,NA,NA
1205,100,topdns341.com,0,NA,1,2016-05-25,2016-05-25
